flight_number,airline,dep_delay,arr_delay,flight_status,checked_at
,empty,14,,active,2026-09-17T21:16:54.184538
MH9457,Malaysia Airlines,58,,active,2026-09-17T21:16:54.185274
G36175,GOL,58,,active,2026-09-17T21:16:54.185295
CX7700,Cathay Pacific,58,,active,2026-09-17T21:16:54.185303
VS4782,Virgin Atlantic,160,,active,2026-09-17T21:16:54.185311
LA6582,LATAM Airlines,160,,active,2026-09-17T21:16:54.185319
KE7342,Korean Air,160,,active,2026-09-17T21:16:54.185327
CI9093,China Airlines,160,,active,2026-09-17T21:16:54.185333
AR7004,Aerolineas Argentinas,160,,active,2026-09-17T21:16:54.185341
AF6825,Air France,160,,active,2026-09-17T21:16:54.185347
MH9520,Malaysia Airlines,15,0.0,active,2026-09-17T21:16:54.185355
G36306,GOL,15,0.0,active,2026-09-17T21:16:54.185361
BA4962,British Airways,15,0.0,active,2026-09-17T21:16:54.185368
AY5714,Finnair,15,0.0,active,2026-09-17T21:16:54.185375
AA944,American Airlines,0,,scheduled,2026-09-17T21:16:54.185383
AA1357,American Airlines,21,,scheduled,2026-09-17T21:16:54.185390
DL1794,Delta Air Lines,75,,scheduled,2026-09-17T21:16:54.185396
AA2600,American Airlines,15,0.0,active,2026-09-17T21:16:54.185402
5Y9218,Atlas Air,106,104.0,scheduled,2026-09-17T21:16:54.185408
AA2124,American Airlines,22,0.0,landed,2026-09-17T21:16:54.185415
RJ7631,Royal Jordanian,22,0.0,landed,2026-09-17T21:16:54.185421
QR7572,Qatar Airways,22,0.0,landed,2026-09-17T21:16:54.185429
MH9384,Malaysia Airlines,22,0.0,landed,2026-09-17T21:16:54.185435
G33664,GOL,22,0.0,landed,2026-09-17T21:16:54.185441
BA4966,British Airways,22,0.0,landed,2026-09-17T21:16:54.185478
AY4152,Finnair,22,0.0,landed,2026-09-17T21:16:54.185488
AT5126,Royal Air Maroc,22,0.0,landed,2026-09-17T21:16:54.185496
DL1514,Delta Air Lines,9,0.0,landed,2026-09-17T21:16:54.185504
WS7651,WestJet,9,0.0,landed,2026-09-17T21:16:54.185510
VS3641,Virgin Atlantic,9,0.0,landed,2026-09-17T21:16:54.185518
LY4358,El Al,9,0.0,landed,2026-09-17T21:16:54.185525
LA6537,LATAM Airlines,9,0.0,landed,2026-09-17T21:16:54.185531
KL5437,KLM,9,0.0,landed,2026-09-17T21:16:54.185539
CI9172,China Airlines,9,0.0,landed,2026-09-17T21:16:54.185549
AR7005,Aerolineas Argentinas,9,0.0,landed,2026-09-17T21:16:54.185557
MH9338,Malaysia Airlines,10,0.0,landed,2026-09-17T21:16:54.185563
JL7471,Japan Airlines,10,0.0,landed,2026-09-17T21:16:54.185570
AA2899,American Airlines,49,23.0,landed,2026-09-17T21:16:54.185578
RJ7340,Royal Jordanian,49,23.0,landed,2026-09-17T21:16:54.185585
MH9473,Malaysia Airlines,49,23.0,landed,2026-09-17T21:16:54.185592
IB4545,Iberia,49,23.0,landed,2026-09-17T21:16:54.185599
G33631,GOL,49,23.0,landed,2026-09-17T21:16:54.185606
BA4965,British Airways,49,23.0,landed,2026-09-17T21:16:54.185613
G36275,GOL,10,0.0,landed,2026-09-17T21:16:54.185621
CX7563,Cathay Pacific,10,0.0,landed,2026-09-17T21:16:54.185629
BA1977,British Airways,10,0.0,landed,2026-09-17T21:16:54.185638
WS7637,WestJet,13,0.0,landed,2026-09-17T21:16:54.185649
VS2231,Virgin Atlantic,13,0.0,landed,2026-09-17T21:16:54.185658
SV4344,Saudia,13,0.0,landed,2026-09-17T21:16:54.185666
SK3629,SAS,13,0.0,landed,2026-09-17T21:16:54.185675
LY4362,El Al,13,0.0,landed,2026-09-17T21:16:54.185685
LA8471,LATAM Airlines,13,0.0,landed,2026-09-17T21:16:54.185692
KL7648,KLM,13,0.0,landed,2026-09-17T21:16:54.185699
AR7003,Aerolineas Argentinas,13,0.0,landed,2026-09-17T21:16:54.185705
AF2693,Air France,13,0.0,landed,2026-09-17T21:16:54.185713
MH9488,Malaysia Airlines,11,0.0,landed,2026-09-17T21:16:54.185720
IB4151,Iberia,11,0.0,landed,2026-09-17T21:16:54.185729
G36148,GOL,11,0.0,landed,2026-09-17T21:16:54.185736
BA4963,British Airways,11,0.0,landed,2026-09-17T21:16:54.185745
DL1473,Delta Air Lines,13,0.0,landed,2026-09-17T21:16:54.185755
AA2062,American Airlines,11,0.0,landed,2026-09-17T21:16:54.185763
AA2341,American Airlines,10,0.0,landed,2026-09-17T21:16:54.185771
DL2428,Delta Air Lines,18,0.0,landed,2026-09-17T21:16:54.185784
VS4334,Virgin Atlantic,18,0.0,landed,2026-09-17T21:16:54.185791
SV4346,Saudia,18,0.0,landed,2026-09-17T21:16:54.185799
SK3627,SAS,18,0.0,landed,2026-09-17T21:16:54.185809
LY4563,El Al,18,0.0,landed,2026-09-17T21:16:54.185818
LA6690,LATAM Airlines,18,0.0,landed,2026-09-17T21:16:54.185826
KQ7075,Kenya Airways,18,0.0,landed,2026-09-17T21:16:54.185833
KL7649,KLM,18,0.0,landed,2026-09-17T21:16:54.185839
KE7544,Korean Air,18,0.0,landed,2026-09-17T21:16:54.185847
AR7029,Aerolineas Argentinas,18,0.0,landed,2026-09-17T21:16:54.185854
AA525,American Airlines,15,0.0,landed,2026-09-17T21:16:54.185862
QR2937,Qatar Airways,15,0.0,landed,2026-09-17T21:16:54.185871
MH9341,Malaysia Airlines,15,0.0,landed,2026-09-17T21:16:54.185877
G36316,GOL,15,0.0,landed,2026-09-17T21:16:54.185885
BA4968,British Airways,15,0.0,landed,2026-09-17T21:16:54.185894
AT5074,Royal Air Maroc,15,0.0,landed,2026-09-17T21:16:54.185902
,empty,14,,active,2026-09-17T21:18:50.436412
MH9457,Malaysia Airlines,58,,active,2026-09-17T21:18:50.438281
G36175,GOL,58,,active,2026-09-17T21:18:50.438305
CX7700,Cathay Pacific,58,,active,2026-09-17T21:18:50.438315
VS4782,Virgin Atlantic,160,,active,2026-09-17T21:18:50.438324
LA6582,LATAM Airlines,160,,active,2026-09-17T21:18:50.438332
KE7342,Korean Air,160,,active,2026-09-17T21:18:50.438340
CI9093,China Airlines,160,,active,2026-09-17T21:18:50.438348
AR7004,Aerolineas Argentinas,160,,active,2026-09-17T21:18:50.438355
AF6825,Air France,160,,active,2026-09-17T21:18:50.438362
MH9520,Malaysia Airlines,15,0.0,active,2026-09-17T21:18:50.438369
G36306,GOL,15,0.0,active,2026-09-17T21:18:50.438376
BA4962,British Airways,15,0.0,active,2026-09-17T21:18:50.438382
AY5714,Finnair,15,0.0,active,2026-09-17T21:18:50.438391
AA944,American Airlines,0,,scheduled,2026-09-17T21:18:50.438399
AA1357,American Airlines,58,,active,2026-09-17T21:18:50.438451
DL1794,Delta Air Lines,160,,active,2026-09-17T21:18:50.438460
AA2600,American Airlines,15,0.0,active,2026-09-17T21:18:50.438468
5Y9218,Atlas Air,85,,active,2026-09-17T21:18:50.438478
AA2124,American Airlines,22,0.0,active,2026-09-17T21:18:50.438485
RJ7631,Royal Jordanian,22,0.0,active,2026-09-17T21:18:50.438492
QR7572,Qatar Airways,22,0.0,active,2026-09-17T21:18:50.438498
MH9384,Malaysia Airlines,22,0.0,active,2026-09-17T21:18:50.438507
G33664,GOL,22,0.0,active,2026-09-17T21:18:50.438515
BA4966,British Airways,22,0.0,active,2026-09-17T21:18:50.438523
AY4152,Finnair,22,0.0,active,2026-09-17T21:18:50.438531
AT5126,Royal Air Maroc,22,0.0,active,2026-09-17T21:18:50.438538
DL1514,Delta Air Lines,9,0.0,active,2026-09-17T21:18:50.438545
WS7651,WestJet,9,0.0,active,2026-09-17T21:18:50.438553
VS3641,Virgin Atlantic,9,0.0,active,2026-09-17T21:18:50.438560
LY4358,El Al,9,0.0,active,2026-09-17T21:18:50.438567
LA6537,LATAM Airlines,9,0.0,active,2026-09-17T21:18:50.438573
KL5437,KLM,9,0.0,active,2026-09-17T21:18:50.438581
CI9172,China Airlines,9,0.0,active,2026-09-17T21:18:50.438589
AR7005,Aerolineas Argentinas,9,0.0,active,2026-09-17T21:18:50.438598
MH9338,Malaysia Airlines,10,0.0,landed,2026-09-17T21:18:50.438608
JL7471,Japan Airlines,10,0.0,landed,2026-09-17T21:18:50.438618
AA2899,American Airlines,35,23.0,active,2026-09-17T21:18:50.438627
RJ7340,Royal Jordanian,35,23.0,active,2026-09-17T21:18:50.438636
MH9473,Malaysia Airlines,35,23.0,active,2026-09-17T21:18:50.438645
IB4545,Iberia,35,23.0,active,2026-09-17T21:18:50.438655
G33631,GOL,35,23.0,active,2026-09-17T21:18:50.438662
BA4965,British Airways,35,23.0,active,2026-09-17T21:18:50.438687
G36275,GOL,10,0.0,landed,2026-09-17T21:18:50.438694
CX7563,Cathay Pacific,10,0.0,landed,2026-09-17T21:18:50.438702
BA1977,British Airways,10,0.0,landed,2026-09-17T21:18:50.438711
WS7637,WestJet,13,0.0,landed,2026-09-17T21:18:50.438717
VS2231,Virgin Atlantic,13,0.0,landed,2026-09-17T21:18:50.438726
SV4344,Saudia,13,0.0,landed,2026-09-17T21:18:50.438733
SK3629,SAS,13,0.0,landed,2026-09-17T21:18:50.438740
LY4362,El Al,13,0.0,landed,2026-09-17T21:18:50.438748
LA8471,LATAM Airlines,13,0.0,landed,2026-09-17T21:18:50.438756
KL7648,KLM,13,0.0,landed,2026-09-17T21:18:50.438763
AR7003,Aerolineas Argentinas,13,0.0,landed,2026-09-17T21:18:50.438770
AF2693,Air France,13,0.0,landed,2026-09-17T21:18:50.438777
MH9488,Malaysia Airlines,11,0.0,landed,2026-09-17T21:18:50.438785
IB4151,Iberia,11,0.0,landed,2026-09-17T21:18:50.438792
G36148,GOL,11,0.0,landed,2026-09-17T21:18:50.438799
BA4963,British Airways,11,0.0,landed,2026-09-17T21:18:50.438806
DL1473,Delta Air Lines,13,0.0,landed,2026-09-17T21:18:50.438812
